description,variables,value,unit,unit(3d histogram),
Counter for Range within (10 20]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[25],0,(10 20],6,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[13],0,(10 20],-18,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[22],21,(10 20],0,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[23],2,(10 20],2,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[17],0,(10 20],-10,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[16],0,(10 20],-12,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[15],0,(10 20],-14,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[14],0,(10 20],-16,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[21],4,(10 20],-2,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[24],1,(10 20],4,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[20],1,(10 20],-4,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[19],0,(10 20],-6,0136374_2020-8-8-15-57-9
Counter for Range within (10 20]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[18],0,(10 20],-8,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[38],0,(20 30],6,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[26],0,(20 30],-18,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[35],48,(20 30],0,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[36],14,(20 30],2,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[30],0,(20 30],-10,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[29],0,(20 30],-12,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[28],0,(20 30],-14,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[27],0,(20 30],-16,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[34],20,(20 30],-2,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[37],2,(20 30],4,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[33],3,(20 30],-4,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[32],0,(20 30],-6,0136374_2020-8-8-15-57-9
Counter for Range within (20 30]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[31],1,(20 30],-8,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[51],0,(30 40],6,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[39],0,(30 40],-18,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[48],8,(30 40],0,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[49],17,(30 40],2,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[43],1,(30 40],-10,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[42],0,(30 40],-12,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[41],0,(30 40],-14,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[40],0,(30 40],-16,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[47],21,(30 40],-2,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[50],0,(30 40],4,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[46],1,(30 40],-4,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[45],0,(30 40],-6,0136374_2020-8-8-15-57-9
Counter for Range within (30 40]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[44],1,(30 40],-8,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[64],0,(40 50],6,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[52],0,(40 50],-18,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[61],37,(40 50],0,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[62],1,(40 50],2,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[56],0,(40 50],-10,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[55],1,(40 50],-12,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[54],1,(40 50],-14,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[53],0,(40 50],-16,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[60],3,(40 50],-2,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[63],0,(40 50],4,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[59],3,(40 50],-4,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[58],0,(40 50],-6,0136374_2020-8-8-15-57-9
Counter for Range within (40 50]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[57],1,(40 50],-8,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[77],0,(50 60],6,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[65],0,(50 60],-18,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[74],21,(50 60],0,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[75],0,(50 60],2,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[69],0,(50 60],-10,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[68],0,(50 60],-12,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[67],1,(50 60],-14,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[66],0,(50 60],-16,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[73],7,(50 60],-2,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[76],0,(50 60],4,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[72],0,(50 60],-4,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[71],0,(50 60],-6,0136374_2020-8-8-15-57-9
Counter for Range within (50 60]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[70],1,(50 60],-8,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[90],0,(60 70],6,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[78],0,(60 70],-18,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[87],10,(60 70],0,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[88],1,(60 70],2,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[82],0,(60 70],-10,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[81],0,(60 70],-12,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[80],1,(60 70],-14,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[79],0,(60 70],-16,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[86],10,(60 70],-2,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[89],0,(60 70],4,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[85],1,(60 70],-4,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[84],1,(60 70],-6,0136374_2020-8-8-15-57-9
Counter for Range within (60 70]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[83],1,(60 70],-8,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[103],0,(70 80],6,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[91],0,(70 80],-18,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[100],8,(70 80],0,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[101],1,(70 80],2,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[95],0,(70 80],-10,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[94],1,(70 80],-12,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[93],1,(70 80],-14,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[92],0,(70 80],-16,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[99],11,(70 80],-2,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[102],0,(70 80],4,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[98],2,(70 80],-4,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[97],1,(70 80],-6,0136374_2020-8-8-15-57-9
Counter for Range within (70 80]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[96],0,(70 80],-8,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[116],0,(80 90],6,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[104],0,(80 90],-18,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[113],1,(80 90],0,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[114],2,(80 90],2,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[108],0,(80 90],-10,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[107],1,(80 90],-12,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[106],0,(80 90],-14,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[105],0,(80 90],-16,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[112],4,(80 90],-2,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[115],0,(80 90],4,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[111],0,(80 90],-4,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[110],3,(80 90],-6,0136374_2020-8-8-15-57-9
Counter for Range within (80 90]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[109],0,(80 90],-8,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed 150 kph and greater when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[10],0,(150<),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed 150 kph and greater when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[10],0,(150<),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (0-15] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[0],0,(0-15),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (0-15] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[0],132,(0-15),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (105-120] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[7],0,(105-120),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (105-120] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[7],0,(105-120),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (120-135] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[8],0,(120-135),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (120-135] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[8],0,(120-135),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (135-150] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[9],0,(135-150),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (135-150] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[9],0,(135-150),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (15-30] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[1],24,(15-30),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (15-30] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[1],62,(15-30),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (30-45] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[2],38,(30-45),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (30-45] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[2],31,(30-45),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (45-60] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[3],58,(45-60),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (45-60] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[3],94,(45-60),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (60-75] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[4],173,(60-75),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (60-75] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[4],179,(60-75),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (75-90] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[5],32,(75-90),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (75-90] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[5],73,(75-90),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (90-105] kph when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[6],0,(90-105),N/A,0136374_2020-8-8-15-57-9
Counter for Vehicle Speed within (90-105] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[6],0,(90-105),N/A,0136374_2020-8-8-15-57-9
Counter of FCA Headway Alerts for Gap Setting of (Far),vafimr_cnt_ops_fca_hdwyalrt[x]_[0],0,Far,N/A,0136374_2020-8-8-15-57-9
Counter of FCA Headway Alerts for Gap Setting of (Faulted),vafimr_cnt_ops_fca_hdwyalrt[x]_[5],0,Faulted,N/A,0136374_2020-8-8-15-57-9
Counter of FCA Headway Alerts for Gap Setting of (Medium),vafimr_cnt_ops_fca_hdwyalrt[x]_[1],0,Medium,N/A,0136374_2020-8-8-15-57-9
Counter of FCA Headway Alerts for Gap Setting of (Near),vafimr_cnt_ops_fca_hdwyalrt[x]_[2],0,Near,N/A,0136374_2020-8-8-15-57-9
Counter of FCA Headway Alerts for Gap Setting of (OFF),vafimr_cnt_ops_fca_hdwyalrt[x]_[3],0,Off,N/A,0136374_2020-8-8-15-57-9
Counter of FCA Headway Alerts for Gap Setting of (Unknow),vafimr_cnt_ops_fca_hdwyalrt[x]_[4],0,Unknown,N/A,0136374_2020-8-8-15-57-9
Counter of FCA Imminent Alerts for Gap Setting of (Far),vafimr_cnt_ops_fca_imalert[x]_[0],1,Far,N/A,0136374_2020-8-8-15-57-9
