Description,Variables,value,unit,,,,6
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,34.3125,deg C (KeyOff),0136374_2020-8-8-15-57-9,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,29.390625,deg C (KeyOn),0136374_2020-8-8-15-57-9,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,34.3125,deg C (Max),0136374_2020-8-8-15-57-9,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,29.390625,deg C (Min),0136374_2020-8-8-15-57-9,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,33.98125278,deg (Lat KeyOff),0136374_2020-8-8-15-57-9,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,33.97743056,deg (Lat KeyOn),0136374_2020-8-8-15-57-9,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.967495,deg (Long KeyOff),0136374_2020-8-8-15-57-9,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.87341111,deg (Long KeyOn),0136374_2020-8-8-15-57-9,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-15-57-9,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-15-57-9,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,8,Day,0136374_2020-8-8-15-57-9,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,15,Hour,0136374_2020-8-8-15-57-9,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,57,Minute,0136374_2020-8-8-15-57-9,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0136374_2020-8-8-15-57-9,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,9,Second,0136374_2020-8-8-15-57-9,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0136374_2020-8-8-15-57-9,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,678.59375,km (KeyOff),0136374_2020-8-8-15-57-9,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,665.984375,km (KeyOn),0136374_2020-8-8-15-57-9,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],259,(0-15),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],103,(15-30),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],61,(30-45),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],158,(45-60),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],230,(60-75),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],41,(75-90),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0136374_2020-8-8-17-49-8,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0136374_2020-8-8-17-49-8,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],1330,Forward,0136374_2020-8-8-17-49-8,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0136374_2020-8-8-17-49-8,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],2,Neutral,0136374_2020-8-8-17-49-8,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],106,Parked,0136374_2020-8-8-17-49-8,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],31,Reversed,0136374_2020-8-8-17-49-8,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0136374_2020-8-8-17-49-8,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,0,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0136374_2020-8-8-17-49-8,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0136374_2020-8-8-17-49-8,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0136374_2020-8-8-17-49-8,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,1,$0=SettingUnknown $1=Off $2=On,0136374_2020-8-8-17-49-8,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-17-49-8,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,2,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0136374_2020-8-8-17-49-8,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,34.3125,deg C (KeyOff),0136374_2020-8-8-17-49-8,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,36.28125,deg C (KeyOn),0136374_2020-8-8-17-49-8,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,36.28125,deg C (Max),0136374_2020-8-8-17-49-8,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,34.3125,deg C (Min),0136374_2020-8-8-17-49-8,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,33.97743167,deg (Lat KeyOff),0136374_2020-8-8-17-49-8,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,33.96197083,deg (Lat KeyOn),0136374_2020-8-8-17-49-8,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.87339889,deg (Long KeyOff),0136374_2020-8-8-17-49-8,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.93953583,deg (Long KeyOn),0136374_2020-8-8-17-49-8,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-17-49-8,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-17-49-8,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,8,Day,0136374_2020-8-8-17-49-8,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,17,Hour,0136374_2020-8-8-17-49-8,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,49,Minute,0136374_2020-8-8-17-49-8,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0136374_2020-8-8-17-49-8,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,8,Second,0136374_2020-8-8-17-49-8,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0136374_2020-8-8-17-49-8,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,691.765625,km (KeyOff),0136374_2020-8-8-17-49-8,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,682.546875,km (KeyOn),0136374_2020-8-8-17-49-8,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],138,(0-15),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],52,(15-30),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],51,(30-45),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],42,(45-60),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],120,(60-75),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],0,(75-90),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0136374_2020-8-8-17-8-6,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0136374_2020-8-8-17-8-6,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],442,Forward,0136374_2020-8-8-17-8-6,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0136374_2020-8-8-17-8-6,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],1,Neutral,0136374_2020-8-8-17-8-6,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],41,Parked,0136374_2020-8-8-17-8-6,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],30,Reversed,0136374_2020-8-8-17-8-6,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0136374_2020-8-8-17-8-6,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,0,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0136374_2020-8-8-17-8-6,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0136374_2020-8-8-17-8-6,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0136374_2020-8-8-17-8-6,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,1,$0=SettingUnknown $1=Off $2=On,0136374_2020-8-8-17-8-6,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-17-8-6,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,2,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0136374_2020-8-8-17-8-6,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,36.28125,deg C (KeyOff),0136374_2020-8-8-17-8-6,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,34.3125,deg C (KeyOn),0136374_2020-8-8-17-8-6,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,36.28125,deg C (Max),0136374_2020-8-8-17-8-6,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,34.3125,deg C (Min),0136374_2020-8-8-17-8-6,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,33.96197083,deg (Lat KeyOff),0136374_2020-8-8-17-8-6,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,33.98125278,deg (Lat KeyOn),0136374_2020-8-8-17-8-6,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-80.93953583,deg (Long KeyOff),0136374_2020-8-8-17-8-6,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-80.967495,deg (Long KeyOn),0136374_2020-8-8-17-8-6,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-17-8-6,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0136374_2020-8-8-17-8-6,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,8,Day,0136374_2020-8-8-17-8-6,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,17,Hour,0136374_2020-8-8-17-8-6,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,8,Minute,0136374_2020-8-8-17-8-6,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0136374_2020-8-8-17-8-6,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,6,Second,0136374_2020-8-8-17-8-6,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0136374_2020-8-8-17-8-6,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,682.546875,km (KeyOff),0136374_2020-8-8-17-8-6,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,678.59375,km (KeyOn),0136374_2020-8-8-17-8-6,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],102,(0-15),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],61,(15-30),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],181,(30-45),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],159,(45-60),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],52,(60-75),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],6,(75-90),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0133685_2020-8-7-21-33-56,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0133685_2020-8-7-21-33-56,,,
